Origin,Dest,DepTime,Weather,Airline,Duration,Day,Delayed
LHR,SIN,7,Clear,British Airways,20,Monday,No
DOH,CDG,18,Clear,British Airways,50,Friday,No
DXB,SIN,8,Fog,Emirates,110,Sunday,Yes
LHR,HND,2,Storm,Qatar Airways,80,Saturday,Yes
LHR,SIN,2,Rain,Air India,50,Monday,Yes
JFK,DEL,3,Rain,Air India,110,Monday,Yes
LHR,HND,12,Fog,Qatar Airways,60,Monday,Yes
DXB,SIN,8,Clear,Qatar Airways,120,Wednesday,No
LHR,DEL,12,Rain,Emirates,90,Sunday,Yes
DOH,SIN,8,Clear,British Airways,130,Sunday,No
JFK,HND,17,Rain,Emirates,110,Saturday,Yes
DXB,SIN,22,Clear,Qatar Airways,140,Monday,No
JFK,CDG,23,Clear,Emirates,110,Monday,No
JFK,CDG,8,Clear,Air India,40,Monday,No
LHR,SIN,7,Rain,Qatar Airways,110,Tuesday,Yes
DXB,HND,23,Storm,Qatar Airways,30,Sunday,Yes
DOH,SIN,12,Clear,Air India,40,Sunday,No
DOH,DEL,11,Clear,Qatar Airways,150,Saturday,No
DOH,CDG,6,Clear,Emirates,30,Monday,No
LHR,CDG,16,Storm,Qatar Airways,110,Tuesday,Yes
JFK,CDG,0,Clear,Emirates,80,Monday,Yes
DOH,DEL,4,Clear,Qatar Airways,130,Tuesday,Yes
LHR,DEL,9,Clear,Air India,90,Friday,Yes
DXB,DEL,11,Clear,Qatar Airways,110,Monday,No
DOH,SIN,3,Clear,British Airways,20,Monday,Yes
JFK,HND,5,Clear,Emirates,30,Wednesday,Yes
DXB,DEL,5,Clear,Air India,120,Friday,Yes
LHR,CDG,9,Fog,Emirates,20,Thursday,Yes
JFK,CDG,19,Fog,British Airways,70,Saturday,Yes
JFK,SIN,11,Clear,Air India,30,Monday,Yes
LHR,SIN,6,Clear,Emirates,80,Wednesday,No
JFK,HND,15,Fog,Air India,120,Thursday,No
JFK,CDG,3,Fog,Air India,30,Saturday,Yes
LHR,HND,16,Fog,Emirates,20,Monday,Yes
JFK,HND,1,Storm,Qatar Airways,20,Tuesday,Yes
DOH,CDG,5,Rain,British Airways,60,Friday,Yes
DOH,HND,5,Clear,British Airways,20,Thursday,Yes
JFK,CDG,13,Clear,Emirates,70,Friday,No
DOH,HND,15,Clear,Qatar Airways,130,Friday,Yes
DXB,SIN,18,Rain,British Airways,140,Wednesday,Yes
DOH,DEL,20,Clear,British Airways,150,Friday,No
JFK,DEL,6,Clear,British Airways,110,Wednesday,No
DXB,SIN,17,Rain,Emirates,60,Saturday,Yes
DOH,SIN,10,Clear,Emirates,120,Wednesday,No
DXB,HND,14,Clear,Emirates,60,Friday,No
DOH,DEL,13,Rain,Qatar Airways,50,Friday,Yes
DXB,DEL,23,Fog,British Airways,80,Friday,Yes
DOH,DEL,18,Clear,Qatar Airways,150,Monday,No
DOH,SIN,2,Clear,British Airways,120,Friday,Yes
DOH,CDG,16,Rain,Qatar Airways,140,Monday,No
JFK,SIN,11,Rain,Air India,120,Monday,Yes
JFK,SIN,16,Clear,Emirates,80,Monday,No
DXB,CDG,14,Storm,Air India,60,Wednesday,Yes
DXB,HND,10,Clear,Qatar Airways,20,Wednesday,No
DOH,CDG,11,Clear,Air India,60,Saturday,Yes
DXB,SIN,9,Fog,Qatar Airways,120,Friday,Yes
JFK,CDG,22,Clear,Qatar Airways,100,Monday,No
DXB,HND,0,Rain,British Airways,140,Friday,Yes
DXB,SIN,18,Fog,British Airways,40,Friday,Yes
DXB,CDG,0,Rain,Qatar Airways,140,Wednesday,Yes
JFK,HND,2,Storm,Emirates,110,Saturday,Yes
DXB,HND,8,Storm,Emirates,130,Friday,Yes
JFK,CDG,11,Clear,Emirates,70,Monday,No
DOH,CDG,20,Rain,British Airways,120,Friday,Yes
DOH,SIN,9,Fog,Air India,60,Thursday,Yes
LHR,HND,12,Rain,Air India,40,Monday,Yes
DOH,SIN,6,Fog,Qatar Airways,150,Thursday,No
DOH,DEL,16,Rain,Qatar Airways,30,Thursday,Yes
DOH,SIN,1,Fog,Emirates,20,Thursday,Yes
LHR,HND,20,Fog,Emirates,30,Tuesday,Yes
JFK,CDG,5,Rain,British Airways,30,Thursday,Yes
JFK,SIN,15,Clear,Emirates,50,Tuesday,No
DXB,CDG,13,Fog,Qatar Airways,90,Thursday,Yes
DOH,SIN,22,Fog,Qatar Airways,70,Tuesday,No
DXB,CDG,15,Clear,British Airways,110,Sunday,No
JFK,SIN,9,Fog,British Airways,140,Sunday,Yes
DOH,SIN,23,Clear,Emirates,90,Thursday,No
LHR,SIN,18,Clear,British Airways,50,Thursday,No
DXB,DEL,3,Clear,Emirates,130,Monday,Yes
JFK,SIN,15,Rain,Qatar Airways,110,Sunday,Yes
DOH,DEL,11,Clear,British Airways,90,Tuesday,No
JFK,SIN,3,Clear,Qatar Airways,80,Wednesday,Yes
DXB,DEL,9,Rain,British Airways,20,Tuesday,Yes
DXB,DEL,17,Rain,Emirates,30,Sunday,Yes
DXB,DEL,5,Storm,Qatar Airways,140,Tuesday,Yes
DOH,DEL,8,Fog,Qatar Airways,30,Friday,No
JFK,DEL,4,Clear,Qatar Airways,120,Thursday,Yes
JFK,DEL,10,Fog,Air India,130,Wednesday,Yes
JFK,SIN,8,Clear,Emirates,90,Monday,No
DOH,DEL,13,Storm,Air India,60,Wednesday,Yes
JFK,HND,6,Fog,Air India,150,Tuesday,Yes
DOH,DEL,2,Rain,British Airways,50,Sunday,Yes
LHR,DEL,8,Clear,British Airways,80,Wednesday,No
LHR,CDG,7,Fog,Emirates,100,Tuesday,Yes
JFK,SIN,7,Clear,British Airways,70,Wednesday,No
LHR,SIN,13,Fog,Emirates,90,Tuesday,Yes
LHR,DEL,17,Rain,British Airways,150,Monday,Yes
JFK,SIN,2,Clear,Qatar Airways,140,Saturday,Yes
DXB,HND,0,Storm,Emirates,100,Friday,Yes
DXB,CDG,16,Clear,Qatar Airways,130,Friday,Yes
DOH,CDG,9,Fog,Qatar Airways,50,Tuesday,Yes
JFK,CDG,4,Storm,British Airways,130,Wednesday,Yes
LHR,CDG,10,Clear,British Airways,140,Wednesday,No
DOH,DEL,19,Rain,Air India,100,Monday,Yes
LHR,DEL,10,Clear,British Airways,140,Monday,No
DXB,DEL,21,Clear,Qatar Airways,30,Tuesday,No
DXB,SIN,8,Clear,Emirates,120,Wednesday,No
JFK,CDG,9,Fog,Air India,150,Thursday,Yes
DOH,HND,14,Clear,Qatar Airways,80,Monday,No
DXB,HND,10,Clear,British Airways,40,Tuesday,No
JFK,CDG,6,Clear,Qatar Airways,40,Thursday,No
DXB,SIN,2,Fog,Emirates,80,Wednesday,Yes
LHR,SIN,11,Clear,Qatar Airways,40,Tuesday,No
JFK,DEL,2,Clear,Emirates,90,Thursday,Yes
JFK,HND,3,Clear,British Airways,90,Saturday,Yes
JFK,SIN,4,Clear,Air India,110,Thursday,Yes
LHR,HND,2,Clear,British Airways,150,Monday,Yes
JFK,DEL,15,Clear,British Airways,20,Saturday,No
DXB,SIN,5,Storm,Qatar Airways,50,Friday,Yes
DXB,SIN,18,Storm,British Airways,40,Wednesday,No
DXB,DEL,1,Clear,Air India,130,Friday,Yes
DOH,DEL,20,Clear,Qatar Airways,100,Saturday,No
DXB,SIN,7,Clear,Emirates,110,Friday,No
DOH,SIN,17,Fog,Air India,120,Wednesday,No
DOH,CDG,18,Clear,British Airways,20,Saturday,No
DXB,HND,5,Fog,Qatar Airways,30,Sunday,Yes
DOH,CDG,8,Fog,British Airways,110,Monday,No
JFK,DEL,15,Storm,British Airways,100,Tuesday,Yes
DXB,SIN,1,Rain,Emirates,90,Monday,Yes
JFK,HND,13,Rain,Emirates,20,Saturday,Yes
LHR,DEL,15,Storm,Qatar Airways,100,Wednesday,Yes
JFK,SIN,4,Clear,Air India,120,Tuesday,Yes
DXB,SIN,21,Clear,Air India,120,Monday,Yes
DXB,HND,4,Clear,Qatar Airways,130,Friday,Yes
DXB,CDG,9,Rain,Qatar Airways,80,Saturday,No
JFK,HND,3,Clear,British Airways,120,Monday,Yes
LHR,HND,7,Rain,Qatar Airways,140,Wednesday,Yes
LHR,SIN,8,Fog,Air India,60,Friday,Yes
DOH,DEL,23,Fog,Air India,110,Thursday,Yes
DOH,DEL,15,Clear,Qatar Airways,140,Tuesday,No
LHR,HND,22,Clear,Qatar Airways,120,Wednesday,No
JFK,SIN,0,Clear,Qatar Airways,50,Wednesday,Yes
JFK,HND,9,Rain,Emirates,150,Wednesday,No
DXB,CDG,1,Rain,Qatar Airways,80,Monday,Yes
DXB,HND,9,Rain,Air India,140,Monday,Yes
LHR,DEL,0,Storm,Air India,30,Sunday,Yes
LHR,DEL,16,Fog,Qatar Airways,40,Tuesday,Yes
LHR,SIN,11,Fog,Air India,50,Saturday,Yes
LHR,CDG,8,Clear,Qatar Airways,130,Wednesday,No
LHR,DEL,8,Rain,British Airways,130,Wednesday,No
LHR,CDG,0,Clear,British Airways,90,Thursday,Yes
LHR,DEL,1,Rain,Air India,120,Thursday,Yes
DXB,CDG,15,Rain,British Airways,130,Wednesday,No
DOH,CDG,7,Fog,British Airways,40,Thursday,Yes
DOH,HND,20,Clear,Emirates,90,Sunday,Yes
JFK,DEL,11,Clear,British Airways,90,Wednesday,No
JFK,DEL,6,Clear,Emirates,80,Friday,No
LHR,HND,5,Clear,Qatar Airways,120,Sunday,Yes
DXB,SIN,22,Clear,British Airways,130,Friday,No
LHR,DEL,16,Rain,Air India,150,Friday,Yes
DOH,SIN,17,Clear,British Airways,120,Thursday,No
DXB,SIN,4,Fog,Air India,100,Friday,Yes
JFK,CDG,0,Clear,Emirates,30,Tuesday,Yes
DXB,CDG,0,Clear,Emirates,70,Monday,Yes
DOH,SIN,6,Rain,Qatar Airways,120,Thursday,Yes
DXB,HND,23,Fog,Air India,70,Tuesday,Yes
DOH,CDG,6,Fog,Air India,130,Tuesday,Yes
DOH,CDG,10,Clear,Air India,130,Saturday,No
LHR,SIN,1,Clear,British Airways,20,Friday,Yes
DOH,CDG,14,Rain,Emirates,90,Sunday,Yes
DXB,SIN,17,Fog,Emirates,60,Tuesday,Yes
LHR,HND,20,Clear,Emirates,130,Monday,No
DXB,SIN,22,Clear,Emirates,60,Monday,No
JFK,CDG,11,Rain,Emirates,70,Monday,No
JFK,SIN,13,Rain,Qatar Airways,140,Sunday,Yes
DXB,CDG,10,Fog,Emirates,130,Tuesday,Yes
DXB,SIN,23,Rain,British Airways,90,Sunday,Yes
LHR,DEL,4,Clear,Air India,130,Wednesday,Yes
DOH,HND,14,Clear,Emirates,50,Saturday,No
DXB,SIN,6,Clear,Qatar Airways,150,Saturday,No
DXB,DEL,7,Clear,Emirates,150,Wednesday,No
JFK,DEL,2,Clear,British Airways,80,Sunday,Yes
DXB,CDG,18,Clear,Emirates,150,Saturday,No
LHR,DEL,7,Clear,Qatar Airways,20,Monday,No
DOH,SIN,23,Clear,Emirates,50,Saturday,No
DOH,CDG,1,Clear,Emirates,70,Sunday,Yes
DOH,CDG,14,Clear,Qatar Airways,130,Monday,No
LHR,HND,17,Rain,Emirates,80,Friday,Yes
LHR,CDG,4,Clear,Emirates,50,Wednesday,Yes
DXB,HND,5,Clear,Air India,120,Friday,Yes
JFK,CDG,3,Storm,British Airways,40,Friday,Yes
LHR,SIN,18,Clear,Qatar Airways,150,Thursday,No
JFK,CDG,18,Clear,Air India,20,Saturday,No
DOH,HND,1,Clear,British Airways,140,Tuesday,Yes
DXB,DEL,12,Rain,British Airways,30,Monday,Yes
DXB,DEL,2,Clear,Qatar Airways,120,Wednesday,Yes
LHR,CDG,6,Fog,British Airways,60,Sunday,Yes
DXB,DEL,11,Clear,Air India,70,Thursday,No
DOH,DEL,11,Rain,British Airways,120,Wednesday,Yes
DXB,HND,22,Clear,British Airways,90,Friday,No
JFK,HND,4,Rain,Air India,140,Sunday,Yes
DXB,DEL,0,Clear,Emirates,100,Thursday,Yes
DOH,DEL,10,Clear,Qatar Airways,130,Friday,Yes
DOH,SIN,3,Clear,British Airways,90,Thursday,Yes
LHR,CDG,6,Clear,Air India,40,Friday,Yes
LHR,SIN,19,Fog,Emirates,110,Thursday,Yes
DOH,HND,22,Clear,Emirates,70,Monday,No
JFK,DEL,1,Fog,Qatar Airways,110,Monday,Yes
LHR,CDG,22,Fog,Emirates,20,Saturday,Yes
JFK,CDG,9,Clear,British Airways,60,Saturday,No
LHR,DEL,20,Clear,Qatar Airways,80,Sunday,No
LHR,HND,10,Rain,Air India,70,Thursday,Yes
JFK,CDG,19,Clear,Emirates,60,Saturday,No
JFK,SIN,2,Clear,Qatar Airways,80,Thursday,Yes
DOH,HND,1,Fog,Emirates,100,Saturday,Yes
JFK,CDG,10,Rain,Emirates,30,Tuesday,Yes
LHR,CDG,1,Clear,Qatar Airways,100,Thursday,Yes
JFK,DEL,19,Fog,British Airways,70,Wednesday,Yes
JFK,SIN,19,Storm,Air India,110,Saturday,Yes
DXB,SIN,8,Storm,Air India,70,Saturday,Yes
LHR,HND,0,Clear,British Airways,90,Saturday,Yes
DXB,DEL,13,Rain,Qatar Airways,100,Saturday,Yes
JFK,CDG,15,Clear,Air India,50,Saturday,Yes
DXB,CDG,11,Fog,Emirates,120,Sunday,Yes
JFK,CDG,18,Rain,Emirates,150,Sunday,No
LHR,HND,17,Clear,Qatar Airways,120,Saturday,No
JFK,CDG,16,Rain,Air India,140,Monday,Yes
JFK,SIN,3,Rain,Qatar Airways,100,Wednesday,Yes
JFK,SIN,17,Fog,Air India,70,Tuesday,Yes
JFK,SIN,10,Fog,British Airways,150,Wednesday,Yes
JFK,HND,10,Clear,Air India,50,Monday,No
JFK,SIN,19,Rain,British Airways,80,Saturday,Yes
DXB,DEL,9,Clear,British Airways,20,Sunday,Yes
DXB,CDG,20,Clear,British Airways,150,Saturday,No
DXB,DEL,7,Rain,British Airways,140,Friday,Yes
LHR,CDG,9,Clear,Air India,80,Wednesday,Yes
DOH,SIN,4,Rain,British Airways,110,Saturday,Yes
JFK,CDG,4,Fog,Qatar Airways,40,Sunday,Yes
LHR,HND,7,Clear,Emirates,90,Saturday,No
LHR,SIN,17,Fog,British Airways,80,Monday,Yes
LHR,DEL,8,Clear,British Airways,50,Wednesday,No
DOH,HND,15,Fog,Emirates,140,Wednesday,Yes
LHR,DEL,14,Storm,Air India,120,Wednesday,Yes
LHR,HND,16,Clear,Qatar Airways,140,Sunday,Yes
DOH,CDG,23,Fog,Air India,140,Wednesday,Yes
DXB,DEL,6,Clear,British Airways,60,Sunday,No
DXB,CDG,4,Fog,Air India,60,Sunday,Yes
JFK,SIN,16,Rain,Qatar Airways,140,Friday,Yes
DOH,DEL,18,Clear,Qatar Airways,90,Saturday,No
LHR,CDG,13,Fog,Air India,80,Tuesday,Yes
DOH,CDG,9,Clear,Air India,90,Wednesday,Yes
DXB,HND,17,Fog,Qatar Airways,40,Wednesday,Yes
JFK,SIN,3,Clear,Air India,120,Saturday,Yes
DXB,DEL,1,Clear,Qatar Airways,80,Thursday,Yes
DOH,HND,11,Fog,British Airways,100,Saturday,Yes
LHR,HND,15,Clear,Qatar Airways,20,Saturday,No
DXB,HND,9,Clear,Emirates,140,Tuesday,No
JFK,DEL,11,Clear,Qatar Airways,80,Sunday,No
LHR,HND,10,Clear,Qatar Airways,150,Friday,Yes
LHR,HND,17,Clear,Air India,70,Wednesday,Yes
DXB,SIN,11,Clear,Air India,130,Sunday,Yes
JFK,SIN,15,Clear,Air India,70,Tuesday,No
DXB,CDG,20,Clear,British Airways,80,Wednesday,No
DOH,CDG,2,Fog,British Airways,60,Thursday,Yes
DXB,DEL,20,Storm,Air India,20,Tuesday,Yes
JFK,CDG,14,Rain,Air India,140,Saturday,No
DXB,DEL,21,Storm,Air India,130,Tuesday,Yes
DXB,CDG,16,Clear,Emirates,40,Monday,No
LHR,SIN,11,Clear,British Airways,130,Monday,No
DXB,DEL,16,Fog,Air India,100,Thursday,Yes
DXB,DEL,15,Rain,British Airways,130,Tuesday,Yes
JFK,CDG,14,Clear,Air India,130,Sunday,Yes
DOH,HND,11,Fog,Qatar Airways,50,Friday,Yes
LHR,HND,7,Clear,Qatar Airways,120,Wednesday,No
JFK,DEL,19,Fog,Emirates,30,Saturday,No
DOH,SIN,13,Clear,Emirates,120,Friday,Yes
DXB,CDG,4,Clear,British Airways,110,Saturday,Yes
JFK,CDG,22,Storm,Qatar Airways,140,Friday,Yes
DXB,CDG,13,Clear,Air India,20,Tuesday,No
DOH,HND,18,Clear,British Airways,40,Sunday,Yes
LHR,CDG,15,Clear,Air India,150,Friday,Yes
